"
LexusLX","
$135000

11855700сом
",https://im.mashina.kg/tachka/images//1/8/a/18a738082fbec3f5048bcf1a3c6a90af_240x180.jpg,"

2018г.,5.7л.,автомат



внедорожник5дв.,бензин

рульслева,54000км
"
"
KiaSportage","
$42000

3688440сом
",https://im.mashina.kg/tachka/images//6/e/c/6ece1b70decae24d3a35f3ae7f9bd6b2_240x180.jpg,"

2022г.,2.5л.,автомат



внедорожник5дв.,бензин

рульслева,3800км
"
"
LexusRX","
$45000

3951900сом
",https://im.mashina.kg/tachka/images//9/2/9/92981baca26705ca1a726f9e5e4f5aff_240x180.jpg,"

2017г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,90000км
"
"
ToyotaCamry","
$30000

2634600сом
",https://im.mashina.kg/tachka/images//8/9/4/89435dbf4f657ca925780b482c263b17_240x180.jpg,"

2018г.,2.5л.,вариатор



седан,гибрид

рульслева,80000км
"
"
ToyotaCamry","
$54000

4742280сом
",https://im.mashina.kg/tachka/images//0/2/8/0285ac64612c65a43d344b5d2e38deec_240x180.jpg,"

2023г.,2.5л.,вариатор



седан,гибрид

рульслева,30км
"
"
BMWX5","
$48000

4215360сом
",https://im.mashina.kg/tachka/images//e/3/f/e3f765c29a057355694c2ae400e8f052_240x180.jpg,"

2018г.,3л.,автомат



внедорожник5дв.,дизель

рульслева,92000км
"
"
BMW7серии","
$42000

3688440сом
",https://im.mashina.kg/tachka/images//c/a/6/ca6d47b0591f517603a0632d547875d6_240x180.jpg,"

2018г.,2л.,автомат



седан,бензин

рульслева,30600км
"
"
ToyotaHighlander","
$34000

2985880сом
",https://im.mashina.kg/tachka/images//f/9/d/f9d02fbcdac6e4ff7f59fbe663176ffe_240x180.jpg,"

2019г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,130000км
"
"
HyundaiSonata","
$12900

1132878сом
",https://im.mashina.kg/tachka/images//e/f/6/ef688d0d89fbeb8bb833bf705790313c_240x180.jpg,"

2018г.,2л.,автомат



седан,газ

рульслева,248000км
"
"
Mercedes-BenzS-класс","
$18000

1580760сом
",https://im.mashina.kg/tachka/images//6/6/e/66e69e88e585fc56cf0528c127644cfe_240x180.jpg,"

2008г.,5.5л.,автомат



седан,бензин

рульслева,200000км
"
"
KiaK5IIСедан","
$17700

1554414сом
",https://im.mashina.kg/tachka/images//c/6/b/c6b54966838c515816294e25d5d336cf_240x180.jpg,"

2019г.,2л.,автомат



седан,газ

рульслева,122000км
"
"
KiaSportage","
$24999

2195412сом
",https://im.mashina.kg/tachka/images//f/6/b/f6bcfdfd79e6cd34e4ebdf80256e9298_240x180.jpg,"

2019г.,2л.,автомат



внедорожник5дв.,дизель

рульслева,119000км
"
"
BMW5серии","
$37000

3249340сом
",https://im.mashina.kg/tachka/images//8/6/6/8661c1e147dc26bd558944de8ccc757f_240x180.jpg,"

2017г.,2л.,автомат



седан,бензин

рульслева,89000км
"
"
Mercedes-BenzCLS","
$82000

7201240сом
",https://im.mashina.kg/tachka/images//d/5/e/d5eb79cf0b09457b047dae8b8ec9217f_240x180.jpg,"

2021г.,3л.,автомат



седан,бензин

рульслева,70000км
"
"
KiaK8","
$45000

3951900сом
",https://im.mashina.kg/tachka/images//6/4/4/6449d1286bfb43d79b797402a33e6837_240x180.jpg,"

2022г.,3.5л.,автомат



седан,газ

рульслева,55000км
"
"
LexusGS","
$32000

2810240сом
",https://im.mashina.kg/tachka/images//0/a/6/0a6f2df167bfe5c31d7048da50dca182_240x180.jpg,"

2018г.,2.5л.,вариатор



седан,гибрид

рульслева,140000км
"
"
LexusLX","
$33800

2968316сом
",https://im.mashina.kg/tachka/images//3/c/7/3c771f9321089754cff778ccb83b2f2e_240x180.jpg,"

2008г.,5.7л.,автомат



внедорожник5дв.,бензин

рульслева,212000км
"
"
ToyotaWindom","
$8500

746470сом
",https://im.mashina.kg/tachka/images//a/5/d/a5dbccb7c6c5167a1d82953d124ce5b9_240x180.jpg,"

2001г.,3л.,автомат



седан,бензин

рульслева
"
"
KiaK7","
$16900

1484158сом
",https://im.mashina.kg/tachka/images//b/0/8/b083dc0f4a9b073e2066297421735aa8_240x180.jpg,"

2018г.,3л.,автомат



седан,газ

рульслева,212000км
"
"
KiaSorento","
$42000

3688440сом
",https://im.mashina.kg/tachka/images//e/6/9/e69717758a692780fb4cb9457b3fdf34_240x180.jpg,"

2021г.,2.2л.,робот



внедорожник5дв.,дизель

рульслева,38000км
"
"
ToyotaHighlander","
$34000

2985880сом
",https://im.mashina.kg/tachka/images//f/9/d/f9d02fbcdac6e4ff7f59fbe663176ffe_240x180.jpg,"

2019г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,130000км
"
"
LexusLX","
$135000

11855700сом
",https://im.mashina.kg/tachka/images//1/8/a/18a738082fbec3f5048bcf1a3c6a90af_240x180.jpg,"

2018г.,5.7л.,автомат



внедорожник5дв.,бензин

рульслева,54000км
"
"
KiaSportage","
$42000

3688440сом
",https://im.mashina.kg/tachka/images//6/e/c/6ece1b70decae24d3a35f3ae7f9bd6b2_240x180.jpg,"

2022г.,2.5л.,автомат



внедорожник5дв.,бензин

рульслева,3800км
"
"
LexusRX","
$45000

3951900сом
",https://im.mashina.kg/tachka/images//9/2/9/92981baca26705ca1a726f9e5e4f5aff_240x180.jpg,"

2017г.,3.5л.,автомат



внедорожник5дв.,бензин

рульслева,90000км
"
"
ToyotaCamry","
$30000

2634600сом
",https://im.mashina.kg/tachka/images//8/9/4/89435dbf4f657ca925780b482c263b17_240x180.jpg,"

2018г.,2.5л.,вариатор



седан,гибрид

рульслева,80000км
"
"
ToyotaCamry","
$54000

4742280сом
",https://im.mashina.kg/tachka/images//0/2/8/0285ac64612c65a43d344b5d2e38deec_240x180.jpg,"

2023г.,2.5л.,вариатор



седан,гибрид

рульслева,30км
"
"
BMWX5","
$48000

4215360сом
",https://im.mashina.kg/tachka/images//e/3/f/e3f765c29a057355694c2ae400e8f052_240x180.jpg,"

2018г.,3л.,автомат



внедорожник5дв.,дизель

рульслева,92000км
"
"
BMW7серии","
$42000

3688440сом
",https://im.mashina.kg/tachka/images//c/a/6/ca6d47b0591f517603a0632d547875d6_240x180.jpg,"

2018г.,2л.,автомат



седан,бензин

рульслева,30600км
"
"
HondaJazz","
$7700

676214сом
",https://im.mashina.kg/tachka/images//e/6/7/e678d9e7256bc83a0fdeddd2e74da068_240x180.jpg,"

2004г.,1.3л.,вариатор



хэтчбек5дв.,бензин

рульслева,280000км
"
"
ToyotaCamry(Japan)","
$10700

939674сом
",https://im.mashina.kg/tachka/images//d/d/3/dd3c6aaffc751fd24e799fb23e302d3c_240x180.jpg,"

2005г.,2.4л.,автомат



седан,бензин

рульсправа,280000км
"
"
KiaK5IIIСедан","
$29000

2546780сом
",https://im.mashina.kg/tachka/images//3/a/e/3ae9eef1d4b44b25f7c7fb78ac10c63a_240x180.jpg,"

2020г.,2л.,автомат



седан,бензин

рульслева,40000км
"
"
LexusES","
$33500

2941970сом
",https://im.mashina.kg/tachka/images//2/d/b/2db798af806d98d60c6f84fb406cfc95_240x180.jpg,"

2016г.,2.5л.,вариатор



седан,гибрид

рульслева,130000км
"
"
BMW7серии","
$285000

25028700сом
",https://im.mashina.kg/tachka/images//c/7/b/c7b9e2364ff1a73fc8814983cc875762_240x180.jpg,"

2022г.,4.4л.,автомат



седан,бензин

рульслева,70км
"
"
KiaSorento","
$41000

3600620сом
",https://im.mashina.kg/tachka/images//c/c/a/ccabd1e497315ef06a72c541deb6dbd0_240x180.jpg,"

2020г.,2.2л.,робот



внедорожник5дв.,дизель

рульслева,39000км
"
"
HyundaiPalisade","
$43500

3820170сом
",https://im.mashina.kg/tachka/images//5/c/9/5c99297100d1d019b22579aa299569ea_240x180.jpg,"

2019г.,2.2л.,автомат



внедорожник5дв.,дизель

рульслева,50000км
"
"
ToyotaCamry","
$23500

2063770сом
",https://im.mashina.kg/tachka/images//a/b/3/ab371947907a67bcd8fc98bd5e186d17_240x180.jpg,"

2018г.,2.5л.,автомат



седан,бензин

рульслева,137000км
"
"
HyundaiSonata","
$12900

1132878сом
",https://im.mashina.kg/tachka/images//e/f/6/ef688d0d89fbeb8bb833bf705790313c_240x180.jpg,"

2018г.,2л.,автомат



седан,газ

рульслева,248000км
"
"
Mercedes-BenzS-класс","
$18000

1580760сом
",https://im.mashina.kg/tachka/images//6/6/e/66e69e88e585fc56cf0528c127644cfe_240x180.jpg,"

2008г.,5.5л.,автомат



седан,бензин

рульслева,200000км
"
"
KiaK5IIСедан","
$17700

1554414сом
",https://im.mashina.kg/tachka/images//c/6/b/c6b54966838c515816294e25d5d336cf_240x180.jpg,"

2019г.,2л.,автомат



седан,газ

рульслева,122000км
"
"
KiaSportage","
$24999

2195412сом
",https://im.mashina.kg/tachka/images//f/6/b/f6bcfdfd79e6cd34e4ebdf80256e9298_240x180.jpg,"

2019г.,2л.,автомат



внедорожник5дв.,дизель

рульслева,119000км
"
